Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Pyaar Karke Dekho,"Family, Romance, Music","Orphaned Ravi Kumar lives in Poona, India, with his maternal uncle. As he wants to pursue a career as a singer/dancer, he re-locates to Bombay, so that he could audition for the All India Talent Association.",Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Apne Apne,Romance,"When Ravi Kapoor finds himself in trouble, he seeks help from his ex-wife, much to the dismay of his new wife, who tries to keep them apart.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Mera Lahoo,Drama,"Widowed Avanti Singh lives in an Indian village along with her two sons Dharam and Govinda, and a married daughter.  Dharam marries Pavitra, who has a twin sister, Geeta, who meets and falls in love with fellow collegian Govinda. Pavitra has an admirer in Dhaneshwar, a local wealthy land owner and aspiring politician, but Pavitra shuns him.  Govinda and Pavitra share a special relationship and Dharam suspects them of having an affair, arguments ensue and Govinda leaves. He returns home to find that Avanti had prevented Dhaneshwar from molesting Pavitra, and Dharam, who went to avenge this humiliation, was killed. Enraged, Govinda rushes to kill Dhaneshwar, but ends up killing someone else instead, and is arrested and put in jail.  With Dharam dead and Govinda behind bars, Dhaneshwar seizes the opportunity and this time does molest Pavitra.  Who will avenge Pavitra and Dharam now?",No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Pratighaat,Drama,"Remake of the Telugu film Pratighatana (1986). The film deals with politics-criminal nexus and a college lecturer who takes them on, even after she faces public disrobing.",No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Itihaas,"Action, Drama, Family, Thriller","Time begets History - it may be at the war front, at a nation or of a household. Joginder Singh was a dedicated Police Officer of Commissioner rank. He had his wife, two sons Vijay and Rakesh and daughter Jyoti. One day when Rakesh arrested Kalicharan, henchman of Alexander the kingpin of the underworld, Joginder Singh was slightly disturbed. He was even more disturbed when he came to know of the release of Kalicharan on account of his sons mercy appeal. As if this was not enough, Alexander himself was trapped by Police and the anger and ill will against Joginder Singh Commissioner of Police reached its climax. Alexander got himself free on bail and to take revenge from Joginder Singh, abducted his daughter Jyoti and molested her. When Joginder Singh was informed by Kalicharan's son about the tragedy, he rushed and killed a man present on the scene of tragedy thinking him to be responsible for the act.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
Hukumat,"Action, Drama",The town of Shantinagar is terrorized by D.B.D.N who likes to kill people for his will. A daredevil cop enters the town.,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Aag Hi Aag,Action,"An officer in the Indian army is called to duty on the same day his wife is to give birth to their son.  When he gets back, he learns that his sister has been raped and murdered and the police ignore the case.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
Sansar,Drama,"Din Dayal Sharma works as a Head Clerk and lives with his wife, Godavari; 3 sons Vijay, his wife Uma; Shiva and Vidyasagar; and a daughter named Rajni. Their standard of living is middle-class and all three males contribute to this lifestyle with Vijay contributing the most as he is a Chartered Accountant. When the time comes for Rajni's marriage, she refuses to marry Jagmohan's son, and wants to marry a Christian by the name of Peter Fernandes. The marriage takes place, and she re-locates to the Fernandes' house.",No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Tera Karam Mera Dharam,Romance,It is a story of a Karodimal. Who is harassing innocent people by giving loans? he keeps his eyes on young girls and one of his victims is Poornima who is a teacher. It is a story of Balraj who interferes in all bad activities of Karodimal and sent to jail under the charge of murder while he is saving Poornima from rape. Balraj hands over his son Raj to Poornima. Karodimal blames Poornima. Poornima leaves for the city and becomes prostitute due to circumstances and educate Raj and handovers her own daughter Laxmi to a peon in the village. Balraj escapes from Jail kills the Karodimal and goes to the city to search his son Raj and Poornima. Raj goes to his friend Sunil village and he fell in love with Laxmi. Sunil comes to know his lover Champa escapes to the city with Raj.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
Dacait,"Action, Crime, Drama","Arjun Yadav return from the city after completing his studies to get settled in his village with his family consisting of his mother Devi Chaudaran, his older brother Amrit and sister. Arjun finds out that Amrit and Thakur Bhanwar Singh does not get along quiet well and attempts to be a peace-maker between the two. One day situation takes a turn for the worse when Amrit is killed, Devi Chaudaran loses her senses, Arjun's sister is raped and he himself is beaten and tied to a tree. Arjun is then rescued by some sympathetic villagers and run off with his childhood friend Makan Malla in the deep ravines only to turn an outlaw whose only motive is to avenge the killings of his family members.",No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Majaal,Romance,Vijay Kumar (Jeetendra) is an orphan brought up by an Advocate Chaudhary Kailash Nath (Kader Khan) and becomes a lawyer himself. He is in love with Sadhana (Sridevi) Kailash Nath's daughter and both get married. Vijay wants to stand on his own feet but is discouraged by his wife and father in law. He is humiliated on many occasions. One day suddenly Sandhya (Jaya Prada) enters their life and Vijay is willing to walk out of the marriage to support Sandhya. Who is this Sandhya and why is Vijay drawn to her?. What will happen to Vijay and Sadhana's married life?,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
Sitapur Ki Geeta,"Action, Crime, Drama","A poor widowed farmer, Dharma Singh, raises two children, a boy (Karan) and a girl (Geeta) on his own in a town called Rampur, and would like his son to grow up to be a police officer. Alas, that was not to be so, for heavy torrential rains strikes their region, separating the entire family, leaving Dharma wounded, and the two children ending up in a town called Sitapur. Geeta decides to work so that her brother can study. Her brother re-locates to Bombay city, and subsequently studies well, and becomes a Police Inspector. He is assigned his first major assignment to get rid of bandits near Sitapur, which he accepts, little knowing that the very people he is expected to get rid of are his very own sister, who is now a former jailbird, a notorious bandit who calls herself ""Maut"", and at odds with another bandit known as Daku Dharma Singh, who is none other than her father. Will Karan be able to fulfill his duties or will he end up joining his family in a life of crime.",No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Dak Bangla,Horror,A man takes a job as caretaker of a mansion and moves there with his wife only to discover some thugs have invaded the place and there's also a mummy walled in the dungeon with a dark past.,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
Mera Yaar Mera Dushman,"Action, Drama","Frame By Frame of a Murder Plot , unraveled by a boxing champion , played by Mithun , who is the brother of Ramesh Deo ,the Union Leader killed.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
Dance Dance,"Action, Music","Radha (Smita Patil) and Ramu (Mithun Chakraborty) are siblings. Their parents Shyam and Sita are singers. Once, Shyam and Sita go to perform in Jalpaiguri where Sita catches the eye of a rich and powerful man called A.M. Singh (Amrish Puri). He stops them in the mid way home, kills Shyam and rapes Sita. Radha and Ramu get the news that their parents are dead and become homeless. Years later, Radha and Ramu have achieved success and are popular singers now. Ramu falls in love with Janita (Mandakini) and Radha gets married to Resham (Shakti Kapoor). But when Janita has to perform in Jalpaiguri she catches the eye of none other than A.M. Singh. Will history repeat itself, or can Ramu rescue Janita and his mother?",No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
Khooni Mahal,Horror,"After years of burial, a monster is accidentally set free by a group of people, leading to disastrous sequence of incidents",No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
Yaari Jatt Di,Action,Two close friends fall in love with the same girl.,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Parivaar,"Drama, Romance","A young girl is rendered homeless and helpless after her cruel relatives chase her out of her home. She finds shelter with a poor street performer who lives with his two children, a dog and a monkey.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
Hawalaat,"Action, Crime, Drama","Geeta works for a newspaper as a reporter and exposes the drug-running crimes of Dharamdas and others involved with him, and as a result she is abducted, imprisoned, and raped repeatedly by both the criminals and a police inspector. Who will save her and others from the clutches of the criminals?",No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
Satyamev Jayate,"Action, Drama, Music","After a young man is killed in custody, Inspector Arjun Singh is transferred to the small town of Tehsil, where his new neighbours happen to be the family of the young man who died.",No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
Insaaf,"Drama, Action","When Avinash, a lecturer, punishes some of his students for misbehaving, they turn his life upside down by abducting and molesting his blind sister in order to get even with him.",No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Hiraasat,Action,"Assistant Commissioner of Police Ashok Saxena lives a middle-classed lifestyle along with his wife, Shobha, a former street dancer; and a younger college-going brother, Rajesh. His father",No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Muqaddar Ka Faisla,"Action, Comedy, Drama, Musical","Muqaddar ka Faisla, is the story of Pandit Krishna Kant. A poor, but extremely honest, upright, God-fearing man, who refuses to compromise on his principles.",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Jalwa,"Thriller, Action","Kapil's younger brother, Buntu, dies as a result of a drug overdose. Kapil vows to put an end to drugs and drug-dealers, by joining the police. He soon attains the title of C.I.D. Inspector. He lives in Bombay with his mom. One day his friend from Goa, Albert Pinto is killed in front of him. He vows to avenge his death, but the local police will not permit to do so, and they assign this incident to another inspector. Frustrated, Kapil decides to travel to Goa.",No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes
Mera Karam Mera Dharam,Drama,"Ajay Shankar Sharma and his mom, Shivani, live a poor lifestyle until one day when Shankar's maternal uncle, Deviprasad, comes to visit them and bequeaths a large estate and wealth for their well-being, on the condition that they improve their home-town Sundergarh, the responsibility of which lies on Deviprasad's son, Sarjuprasad.",No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Kachchi Kali,Drama,Sonika Gill plays an innocent virgin girl (Kachchi Kali as the title indicates) who is tricked by her lover (Ajinkya Deo) who is a blue film maker and sold off in to prostitution. Her brother (Alok Nath) tries hard to search for her in every brothel but in vain. Will he succeed in finding her?,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
Marte Dam Tak,"Action, Drama","Life changes for an honest police officer (Raaj Kumar) who's spent his career fighting crime on the right side of the law when he becomes a criminal himself. But is he really a ""bad guy"" if he's waging a personal war against injustice? Om Puri, Aruna Irani, Govinda, Farha Naaz, Shakti Kapoor, Kulbhushan Kharbanda, Alok Nath, Paresh Rawal and Ashalata co-star in this ensemble Bollywood drama.",No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
7 Saal Baad,"Horror, Music","A married couple Nisha Mathur and her husband Dilip Mathur, purchase a hotel in a scenic locale. In the beginning, no one comes to stay there, however, the hotel soon attracts several young couples; an ex-convict, who possesses some dark secrets out of Nisha's past; a police inspector who warns people against staying in this hotel; and a journalist Lisa. And then one by one people start turning up dead, brutally killed, by person(s) unknown. What is the secret behind this hotel?",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No
Sindoor,"Family, Drama","Laxmi is half of a famous singing couple when both her relationship and career are destroyed by the jealous plotting of her husband , Vijay. Years later, Laxmi is widowed and raising a stepdaughter, Lalita, when Vijay returns to the scene to meddle in her new family's affairs and once again threaten her domestic happiness.",No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
Khudgarz,"Drama, Family","Sita Sinha has brought up her son, Bihari and his friend, Amar as her own. The three are very close to each other. When they grow up they maintain their friendship and love for each other. Amar marries wealthy Jaya, and Bihari marries a labourer. Amar's dad, Mr. Saxena does not like Bihari, and schemes to separate them. He succeeds, and Bihari is humiliated. Bihari blames Amar, and swears to bring about his downfall at all costs.",No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes
Diljalaa,"Action, Drama","Widowed multi-millionaire Sharda lives with an only son, Munna; she is also the proprietor of a factory called, ""Sharda Chemicals"". Sharda arranges Munna's marriage with the factory's general manager, Ratanmuni Gupta's daughter, Mamta who is currently pursuing studies at Lovedale College in Manori. On the day of the engagement, Mamta insults her dad, Munna, and Sharda in the presence of a huge gathering, so the marriage plans get canceled. Gupta then arranges to get Mamta married to wealthy Mrs. Modi's son Azad, but before the marriage Mamta gets pregnant by a man disguised as Azad, and Mrs. Modi cancels the wedding plans. Gupta began to face many business challenges; Munna actually survived the murder attempt and is out to destroy Gupta and the others.",No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes
Kalyug Aur Ramayan,"Comedy, Drama","Bhagwan Shri Ram would like his param-bhakt (Chief Devotee) Shri Hanuman to tour Kalyugic (Dark-aged) Hindustan, and himself witness the regression that has taken over this once peaceful, orderly, and religious country. Upon arrival in his present heavenly form, Shri Hanuman is mistaken by Police Inspector Thakur Hanuman Singh, to be a spy from a foreign country, and he gets on the run until Shri Ram changes his appearance to a wealthy man named Pavan Kumar, thus making him elude the police. Pavan meets with a man named Dashrath, who has two sons Raman and Dhaman.",No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No
Jaan Hatheli Pe,"Action, Drama","Soni is forced to work for Chinoy, a smuggler, and soon becomes the head of the gang without his wife's knowledge. However, his misdeeds are exposed when Ram testifies again him and gets him arrested.",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Watan Ke Rakhwale,"Action, Thriller, Drama","Baffling the authorities, a secret organization with powerful connections is creating havoc and getting away with loads of money. But their criminal run may be drawing to an end as an astute secret agent closes in with plans to bring them down. Unfortunately, the gang of baddies is tipped off to his activities and devises a counter-attack designed to eliminate him permanently.",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Avam,"Action, Mystery, Thriller","Indian Army Captain Amar Kumar lives with his father, Ram, and mother, Saraswati. Ram has been associated with top freedom fighters during India's struggle for independence from the British. Almost all of these freedom fighters had taken advantage of their involvement and have taken up important positions in India's administration, and these include Jagrathan, and Mohanlal. While others like Vaisakh Ansari and Ram have chosen not to.",No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
Imaandaar,"Action, Crime, Drama",A businessman faces challenges when he unknowingly permits his daughter to get engaged to the son of the man who betrayed him.,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes
Kaash,Drama,"Bollywood actor Ritesh and Pooja are married and live a fairly wealthy lifestyle. When he ventures to produce a film, a huge risk considering his naivety, results in financial losses, which they have to make good by selling all their personal properties, vehicles, and belongings. They re-locate to live in a small flat, and Ritesh loses himself in an alcoholic and nostalgic world. Pooja decides to take over the reins of this family by seeking employed, much to the chagrin of her husband, who would prefer that she stay at home - a discussion that may well be the turning point of their relationship and signal the end of their marriage.",No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Hifazat,"Action, Romance","Although Satya Prakash's wife Laxmi makes him marry Rukmini for an heir, both wives give birth to sons. Later, the sons fight among themselves in order to gain control over their father's business.",No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
Thikana,Drama,"Alcoholic lawyer Ravi Goel does not get cases because he refuses to lie. He lives with his mother and sister Shashi ,who also happens to be the breadwinner for the family.  MP Rane rapes a girl and is videotaped by a cameraman . Rane has both of them killed. Meanwhile, Shashi becomes pregnant from Ranbir Singh. She refuses to marry him because she feels that when she would leave her family, they would be in trouble. Ranbir convinces Ravi to take on cases to fight in the court.  Tea shop owner tells Ravi that dancer Shaila's brother has been missing for some time. Ravi begins searching for her brother and, discovering his death, tries to find the killers.",No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
Kaun Jeeta Kaun Haara,"Comedy, Drama","When his car breaks down, Amitabh Bachchan finds himself in a busload of students. Shortly, the students, debating heatedly whether man is greater or a woman, put the question to their esteemed guest.",No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Kudrat Ka Kanoon,"Action, Drama, Thriller","Dr. Vijay Verma lives in a small town with his wife, Aarti, and a young daughter, Munni. One day Vijay comes to the rescue of a poor laborer, who was being beaten by a group of men working for the town's Sarpanch, Dharamraj. This gets him in the bad books of Dharamraj, and he is subsequently arrested for killing his assistant, found guilty, and sentenced for seven years. Dharamraj then summons Aarti and openly accuses her of having an affair with the deceased assistant, and orders her to be taken out of this town, to the custody of Bombay Police. Years later, Vijay is released from prison, and is anxious to meet his wife and child. When he returns home, he finds that his wife and child are nowhere to be found. Upon inquiring, he learns that his wife was jailed for killing their child, and is now earning a living as a prostitute, and is currently the mistress of Member of Parliament, Charandas.",No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
Ijaazat,"Romance, Drama",An estranged couple accidentally meet in a railway station's waiting room and revisit their past.,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Param Dharam,"Action, Drama","Savitri (Moushumi Chatterjee) falls in love with Vijay (Mithun Chakraborty), who saves her sister from a dacait named Shamshera (Amrish Puri). Both get very intimate, and then decide to marry. Before the marriage could take place, Shamshera kills Vijay, and Savitri gives birth to a baby boy, but is told that the child was born dead. She then marries Thakur Prem Singh (Navin Nischal), who is responsible for blinding Shamshera in one eye, and sending him to prison. Subsequently Savitri gives birth to another baby boy, Rajesh (Sumit Saigal). Years later, she comes across a young man named Ravi (also Mithun Chakraborty)",No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Uttar Dakshin,"Action, Drama","At the time of his mother's death, Raja comes to know that his father is still alive and living a wealthy life. Raja now befriends Shankran, his step-brother.",No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Aaj,Drama,The movie is about a man who is trying to find his missing sister.,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Himmat Aur Mehanat,"Action, Drama, Comedy","Jyoti wins the trust of the wealthy Madan and is given full control of his household. However, when his son Vijay sexually molests and marries Jyoti, differences arise between the housekeeper and employer.",No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Insaf Ki Pukar,"Action, Drama","Years after a corrupt police inspector committed crimes against their families, two young men (Dharmendra, Jeetendra) meet and plot their revenge.",No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
Ghar Mein Ram Gali Mein Shyam,"Drama, Family, Action","The women of India have always accepted men the way they are, but this one woman is full of ego and pride and because of this she doubts her husband's character and comes across a crooked pervert man who because of his lust spoils innocent girls.",No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Superman,"Action, Adventure, Science Fiction","In this Indian take on the classic superhero story, a young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his origins and powers, he goes to the city in search of his school sweetheart, Gita, who has become a newpaper reporter. At the same time, Verma, Shekhar's rival for Gita's affection in their school days, has gone on to become a crime lord and general super-villain. Verma has hatched at plan to become rich by devastating part of India with natural disasters, then buying up all of the abandoned land. Will Superman/Shekhar be able to put a stop to Verma's evil plan? Will he win Gita's heart? Will he keep his double identity a secret?",No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
Gone to Waste,"Action, Crime",Jamal and Pratap are close friends until one is sentenced to five years in jail and the other becomes involved in gang activity.,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
Libaas,Drama,"The film is about married couples of urban India having extramarital relations and adultery. Based on Gulzar's own story ""Seema"", the film portrays the relationship between a theatre director, Sudhir, who neglects everything but his work and is struggling to establish his theatre group. His wife Seema is also the leading lady in the theatre group but is left alone as Sudhir is involved in his work. Things take a turn when Sudhir's friend TK turns up and woos Seema",No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Mardangi,"Action, Thriller","Vikram, the son of a wealthy leader, loses in a fight against Shanker, a commoner. However, when a corrupt officer poisons his mind, he sets out to exact revenge for his humiliation.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
Kab Tak Chup Rahungi,Drama,"On her trip to a remote and scenic village, Geeta meets Gopal, a local guide. The two fall in love but she is forcefully married to a rich industrialist who does not respect her.",Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No
Namumkin,"Drama, Mystery","Namumkin is a 1988 Bollywood mystery film, telling the story of an Asian family exiled from Idi Amin's Uganda.",No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes
Vasundhara,Drama,"Vasundhara is a Hindi movie released on 1 Jan, 1988. The movie is directed by Ashok Ahuja and featured Rajesh as lead character.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aurat Teri Yehi Kahani,Drama,"Shortly after giving birth to Savitri, her mom passes away, leaving her disabled dad, Dharamraj, no alternative save to re-marry Champa, who gives birth to a son, Ketan. Champa is very cruel to Savitri and severely slaps and beats her around.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Gharwali Baharwali,Family,This is a movie about a married man who falls in love with another woman. How his wife is able to get him back and how he realises his mistake is the plot.,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Aage Ki Soch,Comedy,"Aage Ki Soch is 1988 Hindi language movie directed by Dada Kondke and starring Shakti Kapoor, Dada Kondke, Swapna, Raza Murad, and Satish Shah",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Jeete Hain Shaan Se,"Drama, Action","Johny, Govinda, and Iqbal Ali are three close friends who live in a small community in Bombay. The threesome get together to help each other and other needy people in the community, and hence get in the bad books of a local gangster who calls himself DK. Tragedy strikes Govinda, when his mom passes away. At the time of the funeral, Govinda is re-united with his dad, Advocate Verma, who has been missing for years. Then a police inspector gets Johny to meet his biological mother, Mary. The three friends rejoice over this good fortune. Then Johny finds out that Advocate Verma was behind the atrocities that were inflicted on his mom years ago, and he goes there to confront Verma, only to come against an enraged Govinda, who cannot believe his father is capable of committing any atrocities against anyone. It is now up to Iqbal to find a solution to end the enmity between Govinda and Johny, before DK takes advantage of this situation.",No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
A Ship Aground,Short,"Tackling the theme of identity from the perspective of Asian and Afro-Caribbean actors, the film emerged from an acting workshop exploring the relationship between acting idioms in theatre and cinema led by Kumar Shahani and Alaknanda Samarth.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dariya Dil,Drama,"Chided by his family for being the absolute miser, wealthy industrialist Dhaniram (Kader Khan) loves his money as a mother loves a child. This does not auger well with his two sons, Ajay and Vijay (Shashi Kiran and Raj Kiran respectively). The two sons despise their father and find various ways to entrap him, but in vain. Dhaniram gets in the bad books of Income Tax Officer, D.O. Gogi (Shakti Kapoor), and as a result Gogi is arrested and imprisoned. His sister, Dolly (Roshini) and brother, Gulu (Gulshan Grover) both scheme a devious plot that will ensure the death of Dhaniram, and the control of his wealth will rest with them and Gogi.",No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
Hum Farishte Nahin,"Action, Thriller","3 escapees from jail help a simple, desperate and cheated man avenge his perpetrator- a notorious smuggler.",No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Shahenshah,Action,"Inspector Srivastav is framed by a wily and cunning gangster, J.K., and unable to prove his innocence, hangs himself, leaving behind his wife, and son, Vijay. Years later, Vijay has grown up and has joined the police force as an Inspector. Unlike his dad, he is corrupt and does accept bribes to turn a nelson's eye to crime. The City Police are assigned the task of apprehending a customed man called ""Shahenshah"", who operates at night and targets, tries and kills gangsters in a ""Judge and Executioner ""style. No one knows the real identity of Shahenshah, as he is feared by the police department, and respected by the poor and middle-class.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
Sagar Sangam,"Drama, Action","Sagar Sangam is a 1988 Hindi film. A family drama, it had a very long delayed release. The film was announced in 1985, had its records released in 1986. The film stars Mithun Chakraborty, Shatrughan Sinha, Raakhee, Padmini Kolhapure, Anita Raj and Asha Parekh.",No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Today's Robin Hood,"History, Comedy","Drama set during the British rule in India has Jatin Chatterjee, a young revolutionary on the run from authorities, take refuge in the home of Shyam Jadhav, who hires Jatin to teach his sons, Ram, Ramdas, and Ramdulaare. What happens when Jatin instructs his students about the legendary bandit Robin Hood?",No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Akarshan,"Romance, Drama",Love story about an actress falling in love with her costar,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Om Dar-B-Dar,"Drama, Fantasy, Comedy",A carefully constructed nonsense about a teenage boy named Om in a small Indian village.,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Pestonjee,"Comedy, Drama","Phiroj and Pesi are close friends and both fall in love with Jeroo but Phiroj decides to walk away and lets Pesi marry her. Years later, he returns and discovers a shocking secret.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Mulzim,Drama,"Vijay Kumar is an young man living in a small town in rural India, who makes his living farming. He hopes to change his lifestyle and that of the townspeople by building a hospital with the help of attractive young doctor Rekha, who he is in love with, so much so that he is willing to donate his land.",Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Paap Ki Duniya,Adventure,"Gangster Pasha has brought up young Suraj as his own son, and has taught him all the skills needed for theft, break & enter, and acting as a hitman. Years later, Suraj has grown up and has become an expert in these skills. The law does catch up to him, and he is imprisoned. When he completes his sentence, he re-enters his world of crime with Pasha. One day he meets up with beautiful Aarti, and falls in love with her. Aarti too is attracted to him, and eventually falls in love with him. When Aarti finds out about his profession, she is dismayed and shocked, and will not have anything to do with him, unless and until he promises to give up on this career. Suraj does so, only to find Aarti's boyfriend Inspector Vijay to out to arrest him by hook or by crook on one hand, and on the other Pasha has ordered his death.",Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Pyar Ka Mandir,"Drama, Family","Widow Laxmi lives a meager but happy existence with her four children. As her son Vijay struggles to support the family, Laxmi is swindled out of her life savings. Vijay swears revenge, resulting in a series of shifting fortunes that send the entire family into upheaval.",No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Shiva Shakti,"Drama, Action, Crime","Shiva travels to the city to earn money for his sister Kusum's marriage. He meets Shakti and they become friends. When Kusum gets pregnant with Shakti's child, Shiva vows to murder him.",No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
Tamacha,"Action, Romance","Growing up, nothing could separate best friends Vicky and Raju. But when one chooses a career as a respected policeman and the other turns to a life of crime, their affection for one another turns into a feud that could prove lethal for them both. Directed by Ramesh Ahuja, this thrilling Hindi-language tale of friendship, loyalty and betrayal stars Jeetendra, Rajnikanth, Bhanupriya and Amrita Singh.",No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Falak,"Drama, Action, Crime","Two partners namely, Murlidhar and Narang, betray their third partner and take over his business. Ramnath works as a watchman in this organization, and he sees illegal business taking place, and attempts to put a stop to this, only to get killed in the process, leaving behind a widow and two sons to fend for themselves. The police classify this death as an accident, and the management refuses to pay any compensation. Years later, the two sons have grown up and remember the death of their dad and the humiliation suffered at the hands of the new owners, and devise a plan to avenge this, and find that the owners have friends in the police force, as well as politicians, who will leave no stone unturned to protect both Narang and Murlidhar.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
