title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Payal Ki Jhankaar,['Romance'],"Shyama is an orphaned young woman who lives with her aunt, uncle and several cousins, two of who are girls of marriageable age. Her passion is dancing, which is frowned upon by her uncle and aunt. One day she, along with a young man named Gopal, go to see the dance by an international artiste named Veena. They ask Veena and her mentor, Dinanath, for help but are shunned and asked to leave. Crestfallen, she returns home and sleeps outside the door as it was very late. The next day her aunt finds out about her overnight excursion and beats her up severely, followed by another beating by her uncle. Humiliated, she decides to run away with Gopal to another town in order to learn dancing at the hands of well-known Guru Kishinchand Sharma. They do find Kishin, who initially rejects them, but relents when he witnesses Shyama abilities.",1980-01-01,['Satyen Bose'],No,Yes,No,No,No,Yes,No,No,No,No,tt0156882,"Alankar Joshi, Surinder Kaur, Komal Mahuvakar",No,No,No
Garam Khoon,['Action'],"Industrialist Sood's manager Vishal gets expelled for siphoning off money from the company. To seek revenge, he kidnaps Babloo, one of Sood's twin sons, and inducts him into the criminal world.",1980-01-01,['A. Salaam'],No,No,Yes,No,No,Yes,No,No,No,No,tt0432866,"Vinod Khanna, Sulakshana Pandit, Ajit Khan",No,No,No
Aakrosh,['Drama'],"In the 1980s, a lawyer defends a tribal man who is under arrest for killing his own wife. As he proceeds with the case, he learns about the harsh life of scheduled tribes in India.",1980-01-01,['Govind Nihalani'],Yes,No,No,No,No,Yes,No,No,No,No,tt0080322,"Om Puri, Smita Patil, Naseeruddin Shah",No,No,No
Dhan Daulat,['Drama'],"A wealthy young man (Rajendra Kumar) is forced by his traditional parents to end his relationship with a girl of lower social standing (Mala Sinha). The heartbroken girl never reveals to her lover that she's pregnant with his child, whom she raises on her own. Years later, father and son (Rishi Kapoor) meet when the son finds a job working for a company that his father owns -- but will the two discover the truth about each other's identities?",1980-01-11,['Harish Shah'],Yes,No,No,No,No,Yes,No,No,No,No,tt0379246,"Neetu Singh, Rishi Kapoor, Pran Sikand",No,No,No
Zalim,"['Action', ' Mystery']","Vinod Khanna rescues the purse of a pretty girl, Leena chandavarkar which was robbed by two robbers. Vinod & Leena meet and fall in love. One night, a dead body is found in Leena's room and she calls Vinod. Out of panic and desperation Vinod gets rid of the body. The next day police start to investigate, and Leena goes missing. Who's body is this, where did it come from, who commited this murder and where is Leena? Watch this thrilling movie to find out.",1980-01-18,['Babbar Subhash'],No,Yes,Yes,No,No,Yes,No,No,No,No,tt0360228,"Vinod Khanna, Pran Sikand, Leena Chandavarkar",No,No,No
Kali Ghata,"['Thriller', ' Mystery', ' Romance']","When a young woman is pushed off a boat, she must unmask her would-be killer.",1980-01-25,['Ved Rahi'],No,Yes,No,No,No,Yes,No,No,No,No,tt0357826,"Rekha, Shashi Kapoor, Danny Denzongpa",No,No,No
Sparsh,"['Drama', ' Romance']","Anirudh Parmar is blind, but he does not let this impairment bind him down. He runs a school for the blind as a Principal. He meets with the recently widowed Kavita. Kavita is attracted to him, and he slowly also gets attracted to her. When marriage is proposed, both agree to marry each other. Then Anirudh starts having doubts whether this marriage is going to succeed, as he feels he is being patronized, and pittied.",1980-01-30,['Sai Paranjpye'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0079938,"Sudha Chopra, Shabana Azmi, Naseeruddin Shah",No,No,No
Do Aur Do Paanch,"['Action', ' Drama', ' Comedy']",Two rival burglars end up at the same school with the intent of abducting a rich man's son for a large ransom.,1980-02-10,['Rakesh Kumar'],Yes,No,Yes,Yes,No,Yes,No,No,No,No,tt0080638,"Amitabh Bachchan, Shashi Kapoor, Hema Malini",No,Yes,No
Ganga Aur Suraj,['Action'],"Shekhar and Vikram are rivals working on either side of the law, little do they know that they are actually brothers separated at birth",1980-02-14,['A. Salaam'],No,No,Yes,No,No,Yes,No,No,No,No,tt0080775,"Sunil Dutt, Reena Roy, Shashi Kapoor",No,No,No
Arising from the Surface,['Drama'],"Taking an experimental approach to the relationship between the written text and moving image, Mani Kaul has a series of texts read aloud in voice-overs (poetry, essays, and stories), while the characters within the texts walk through real or imaginary landscapes.",1980-02-17,['Mani Kaul'],Yes,No,No,No,No,Yes,No,No,No,No,tt0081453,"Vibhuti Jha, M.K. Raina, Bharat Gopy",No,No,No
Khubsoorat,"['Drama', ' Family', ' Romance', ' Comedy']","Nirmala Gupta rules her household with an iron fist. While most of her family resents it, they do comply and try to appease to her. When her daughter-in-law's free-spirited sister comes over to stay for a few days, things in the Gupta family start to change, agitating Nirmala.",1980-02-26,['Hrishikesh Mukherjee'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0244585,"Ashok Kumar, Rakesh Roshan, Rekha",No,No,Yes
Abdullah,"['Action', ' Drama', ' Romance']",Abdullah has to fight oppression and torture as he tries to bring up the boy as a hindu where the majority are muslims.,1980-03-07,['Sanjay Khan'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0259170,"Sanjeev Kumar, Raj Kapoor, Sanjay Khan",No,No,Yes
Aap Ke Deewane,"['Drama', ' Romance']","Two students are framed for molesting a girl and must leave college. To make ends meet, they pose as tutors to a young lady who they both fall for.",1980-03-19,['Surendra Mohan'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0178195,"Rishi Kapoor, Tina Ambani, Jeetendra",No,Yes,No
The Burning Train,"['Action', ' Thriller']",The plot revolves around a train named Super Express that catches fire on its inaugural run from New Delhi to Mumbai.,1980-03-20,['Ravi Chopra'],No,No,Yes,No,No,Yes,No,No,No,No,tt0158534,"Vinod Khanna, Jeetendra, Dharmendra",No,Yes,No
Aasha,"['Drama', ' Family', ' Romance']","A famous singer, Aasha, falls in love with a truck driver, who believes his wife is dead, but when Aasha discovers that his wife is alive, she struggles as to whether she should reveal this information, and possibly lose him.",1980-03-21,['J. Om Prakash'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0178204,"Reena Roy, Jeetendra, Rameshwari",No,Yes,No
Lootmaar,"['Drama', ' Action', ' Thriller']","Indian Air Force pilot Bhagat lives with his wife, Raksha and a young son. While going to the bank one day, the family find that the bank is being held up. The bank-robbers panic at the arrival of the police, and fire randomly, killing Raksha instantly. Bhagat witnesses this horrific spectacle and is unable to do anything to save his wife. The robbers were masked, but one of them had a tear in his shoe and another was wearing a locket, very similar to the one worn by his wife. Bhagat's inquiries take him to the northernmost hilly regions of India, where he must confront the past, as well as seek out the elusive killers and bring them to justice, not knowing that in so doing he will be endangering the life of his son.",1980-04-10,['Dev Anand'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0154788,"Dev Anand, Tina Ambani, Mehmood",No,No,Yes
Manokaamnaa,"['Drama', ' Romance']","Gauri lives a poor lifestyle in a small town in India along with her maternal uncle, Pandey, and aunt, Parvati. Pandey is the peon for the District Forest Officer, and his wife and Gauri assist him in cooking, and cleaning the officer's living quarters. When Jain retires, he is replaced by a much younger officer, Vikas Kashyap, whose family, consisting of two married brothers, their wives, and his widowed mother, live a wealthy lifestyle in Bombay. Vikas takes over the job, and a few days later his mother also comes to live there. Gauri falls in love with Vikas, and is convinced that he, too, is in love with her. She even undertakes the Karva Chauth Vrath - little realizing that Vikas is in love with London-based Sonia, and their marriage will soon be finalized.",1980-04-11,['Kedar Kapoor'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0232050,"Urmila Bhatt, Kalpana Iyer, Shail Chaturvedi",No,No,No
Ram Balram,"['Action', ' Comedy', ' Drama']","Ram and Balram are 2 young boys who live with their loving parents. Their scheming uncle, Jagatpal, however kills the boy's father and mother. Jagatpal lies to the boys that their parents have been killed in an accident and promises to raise them himself. He enrolls the younger brother Balram, in school and eventually sends him off to join the police force. The older becomes a mechanic. Jagatpal has a tight hold on the boys, even when Ram is an adult, he still gives all his wages to his uncle and is only allowed to keep a few rupees for pocket money.",1980-04-12,['Vijay Anand'],Yes,No,Yes,Yes,No,Yes,No,No,No,No,tt0081401,"Amitabh Bachchan, Zeenat Aman, Dharmendra",No,Yes,No
Takkar,['Drama'],"A wicked stepmother and her brother attempt to kill her stepson but he survives, and years later re-enters their lives. On the other hand, a smuggler assumes the identity of an honest man who looks like him, in order to evade the police.",1980-04-18,['K. Bapaiah'],Yes,No,No,No,No,Yes,No,No,No,No,tt0155238,"Sanjeev Kumar, Zeenat Aman, Jeetendra",No,Yes,No
Swayamvar,"['Romance', ' Comedy', ' Drama']","Durgadevi rules her household with her brother, Makhanlan, and treats daughter Shanti worse than she treats servants; her other daughter is Roopa. When the younger women are approached for marriage, Durgadevi refuses.",1980-04-28,['P. Sambasiva Rao'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0371974,"Sanjeev Kumar, Moushumi Chatterjee, Shashi Kapoor",No,No,No
Yeh Kaisa Insaf?,['Drama'],"A woman's marriage is filled with upheaval and conflict, but she makes many compromises for the sake of her struggling family. How will she react to her husband's ultimatum, that she must choose him and his family over her own, otherwise he would take their daughter and leave forever?",1980-05-02,['Dasari Narayana Rao'],Yes,No,No,No,No,Yes,No,No,No,No,tt0262918,"Sarika Thakur, Shabana Azmi, Vinod Mehra",No,No,No
Bombay 405 Miles,"['Comedy', ' Action']","Two outlaws get in over their heads when they're suddenly entrusted with the care of a wealthy child. Beseeched by a dying man to look after the young Munni, the pair uncovers a puzzle when they try to locate her kin and collect a reward. Who is the man who answers their newspaper ad? And why do some think Munni is already dead? Is the girl actually in danger from her real father? Now, the two crooks must unravel the truth before it's too late.",1980-05-02,['Brij'],No,No,Yes,Yes,No,Yes,No,No,No,No,tt0157418,"Vinod Khanna, Shatrughan Sinha, Zeenat Aman",No,No,No
Ek Gunah Aur Sahi,"['Crime', ' Thriller']","Shankar, a bank robber, gets married to Paaro and decides to lead a crime-free life. However, on his first conjugal night, he gets arrested and Varma, a corrupt banker, forces him to rob his own bank.",1980-05-07,['Yogi Kathuria'],No,No,No,No,No,Yes,No,No,No,No,tt0080675,"Sunil Dutt, Gulshan Arora, Parveen Babi",No,No,No
Choron Ki Baaraat,['Action'],"Anju lives a wealthy lifestyle with her widowed dad, Dhanraj, on a privately owned island. She studies in a hostel, plays on the football team, but is known for getting into fights with other girls, rather then taking part in this sport. But before that could happen, six men men who had duped by Dhanraj several years ago, arrive on the island incognito, enlist the assistance of the island's native people, led by Heera, who have been oppressed by Dhanraj and Captain Ashok, to recover their loot and kill Dhanraj and Anju. It is here that Anju will find out that the reason Shekhar accompanied her was not because he loves her, but for quite some other unknown and devious reason.",1980-05-23,['Harmesh Malhotra'],No,No,Yes,No,No,Yes,No,No,No,No,tt0237098,"Neetu Singh, Shatrughan Sinha, Ajit Khan",No,No,No
Red Rose,"['Thriller', ' Crime', ' Romance']","Anand lives a wealthy lifestyle in Bombay in a palatial house, and runs a business 'Export India'. While shopping at Roopsagar Clothing Store, he meets one of the Sales Clerks', Sharda, and falls in love with her. Shortly thereafter he proposes to her, she accepts, and both marry at the Registrar of Marriages. Sharda is shown around Anand's house, and the guest-house which houses his ex-convict father. Sharda soon settles in, establishes a Devi Maa Durga Mandir, but will find her life turning upside down when she discovers a deadly secret from Anand's past.",1980-06-06,['Bharathiraja'],No,Yes,No,No,No,Yes,No,No,No,No,tt0156014,"Aruna Irani, Rajesh Khanna, Poonam Dhillon",No,No,No
Man Pasand,"['Comedy', ' Drama']","Kamli belongs to a poor family. She sells datuns for a living. She sells them in local suburban trains as well as on railway platforms. One day she meets a bachelor named Pratap, who would like her to become a lady, and be educated, to which she agrees. She thinks that Pratap is in love with her, little does she know that she is the subject of a bet between Pratap and his friend, Kashinath, who both find her crude, crass, loud, and uncouth, so much so that both doubt that she can be transformed into a lady.",1980-06-11,['Basu Chatterjee'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0157965,"Girish Karnad, Dev Anand, Tina Ambani",No,No,Yes
Karz,"['Action', ' Thriller']",Ravi is killed by his wife after his marriage. He is reborn as Monty and is now a singer he goes to holiday in Ooty where he recollects his memories from previous life and inquires about his family from first life and his evil wife Kamini.,1980-06-11,['Subhash Ghai'],No,No,Yes,No,No,Yes,No,No,No,No,tt0214841,"Rishi Kapoor, Tina Ambani, Simi Garewal",No,No,No
Sitara,"['Drama', ' Family']","Dhaniya and Kundan are childhood sweethearts, and hope to marry once they have attained maturity. Dhaniya would like to have some money in her possession before she marries, so they decide to travel to Bombay, find some work, save some money, and then marry. Upon arrival in Bombay, they find that getting employment is not all that easy, especially when one is unskilled. Dhaniya feels that she is good at acting, and feels she will be successful as an actress. So both try their hand with various Bollywood agents, and after quite a few misadventures, Dhaniya gets an acting role. She surpasses all estimations, and becomes a star overnight. Kundan sees all the glitter and the glare from the outside, but is unable to become part of what Dhaniya, who now calls herself Sarita, has become. Sarita is so intent on saving money, that she ends up spending more and more money, quite unable to save any, and finally Kundan realizes that he has lost her to the artificial glamor world, leaves her, and heads back home. Will Dhaniya and Kundan be ever re-united again? Has success changed Dhaniya?—rAjOo (gunwanti@hotmail.com)",1980-06-13,['Meraj'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0400830,"Mithun Chakraborty, Kanhaiyalal Chaturvedi, Zarina Wahab",Yes,Yes,No
Qurbani,"['Drama', ' Action', ' Crime']","A cabaret dancer and singer, Sheela (Zeenat Aman) has two admirers: a small-time thief Rajesh (Feroz Khan), and a young, eligible widower, Amar (Vinod Khanna). Both are best friends and does not know that they love the same woman.",1980-06-19,['Feroz Khan'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0246879,"Vinod Khanna, Feroz Khan, Zeenat Aman",No,No,No
Unees-Bees,['Drama'],Siblings get separated in childhood. After years they faced each other as rivals.,1980-07-04,['Swaroop Kumar'],Yes,No,No,No,No,Yes,No,No,No,No,tt0388499,"Mithun Chakraborty, Rakesh Roshan, Ranjeeta Kaur",Yes,Yes,No
Jal Mahal,['Romance'],"Ravi (Jeetendra) overhears a beautiful woman, Namrita (Rekha), singing a sad song. He falls in love, and tries to pull her away from the abyss of suicide. As time goes by, he proposes and introduces her to his family, only to find out that she is already married to Rajesh. He leaves home destroyed, attempting to understand life after she completes suicide...only to run into her at an ashram, where she claims she is not the same person, but a look-alike.",1980-07-04,['Raghunath Jhalani'],No,Yes,No,No,No,Yes,No,No,No,No,tt0230357,"Deven Verma, Rekha, Jeetendra",No,Yes,No
Guest House,['Horror'],Christopher (Prem Nath) goes to meet a woman at a remote guest house for an exorcism wearing a expensive diamond ring. He gets murdered that night for the ring and his hand is brutally chopped off. The hand then returns for revenge.,1980-07-29,"['Shyam Ramsay', 'Tulsi Ramsay']",No,No,Yes,No,No,Yes,No,No,No,No,tt0260060,"Padmini Kapila, Premkrishen Malhotra, Madhu Kapoor",No,No,No
Apne Paraye,"['Drama', ' Family', ' Comedy']",Film about the trials facing a family whose patriarch has squandered money into a series of unwise ventures.,1980-08-08,['Basu Chatterjee'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0157320,"Amol Palekar, Girish Karnad, Shabana Azmi",No,No,No
Saboot,['Horror'],"Seth Dharamdas(Trilok Kapoor) is a wealthy businessman. Dharamdas decides to sell one of his factories to Dhanraj(Prem Chopra). Dhanraj tells this to Ajit Roy(Om Shivpuri), his partner, who has plans of his own. However, circumstances make Dharamdas change his mind and he decides to cancel this deal. Dhanraj doesn't want this deal be cancelled and hence bribes Dharamdas's trusted employees into killing him.  The quartet corner Dharamdas in a train and kill him after they get his sign over some crucial papers. They dispose off the dead body, making people think that Dharamdas has gone missing. But when the matter cools down, the villains start dying under mysterious circumstances. The investigation is handed over to the police. But is the killer a human, or has Dharamdas returned to exact his revenge?",1980-08-09,"['Shyam Ramsay', 'Tulsi Ramsay']",No,No,Yes,No,No,Yes,No,No,No,No,tt0253618,"Navin Nischol, Kaajal Kiran, Vidya Sinha",No,No,No
Be-Reham,"['Action', ' Crime', ' Thriller']","Kumar Anand, an honest police officer, gets into trouble after he accidentally kills a gangster at his ex-lover Mala's house.",1980-08-15,['Raghunath Jhalani'],No,No,Yes,No,No,Yes,No,No,No,No,tt0230028,"Mala Sinha, Sanjeev Kumar, Shatrughan Sinha",No,No,No
Phir Wahi Raat,"['Mystery', ' Horror']","Dr. Vijay is a psychiatrist and is in love with a beautiful young woman named Asha. He is stunned when another doctor refers Asha to him, as Asha has been having hallucinations and nightmares of a woman who comes to attack her and choke her to death so much so that her hostel warden has asked her to leave. Vijay hypnotizes Asha, and is successful in driving away her fears. Asha, her friend, Shobha, and Vijay travel to Asha's residence out in the countryside to celebrate her birthday, which they do with lot of pomp and merriment. Shortly thereafter, Asha sees a grotesque woman, quite different from the one she has been having nightmares about, walking in the hallway of her house, but whose motive is also the same - her death.",1980-08-15,['Danny Denzongpa'],No,Yes,Yes,No,No,Yes,No,No,No,No,tt0358020,"Kim, Rajesh Khanna, Aruna Irani",No,No,No
Ek Baar Kaho,"['Romance', ' Drama']","Ravi is in love with Aarti but unable to express his feelings to her. With Aarti's marriage arranged, will he be able to confess before it's too late?",1980-09-03,['Lekh Tandon'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0340091,"Navin Nischol, Dilip Dhawan, Shabana Azmi",No,No,No
Gehrayee,"['Horror', ' Drama']","When a successful manager decides to sell his plantation in his ancestral village to another company, his young daughter begins acting strangely.",1980-09-09,"['Vikas Desai', 'Aruna Raje']",Yes,No,Yes,No,No,Yes,No,No,No,No,tt0259322,"Shreeram Lagoo, Indrani Mukherjee, Anant Nag",No,No,No
Aanchal,"['Action', ' Drama', ' Family']","Hearts collide when the conniving Jaggan (Prem Chopra) convinces Kishan (Amol Palekar) that his wife, Shanti (Rakhee Gulzar), is having an affair with his brother Shambhu (Rajesh Khanna). Of course, all this is done so that Kishan will marry Jaggan's cousin Tulsi (Rekha) according to Jaggan's master plan … even though Tulsi would much rather marry Shambhu. Confused? Don't worry. So are these weary lovers!",1980-09-18,['Anil Ganguly'],Yes,No,Yes,Yes,No,Yes,No,No,No,No,tt0178185,"Rakhee Gulzar, Rekha, Rajesh Khanna",No,No,No
Oh Bewafaa,"['Drama', ' Romance']",A spurned woman concocts an elaborate plan of revenge against a pilot who made love to her and then betrayed her trust.,1980-09-19,['Saawan Kumar Tak'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0395687,"Yogeeta Bali, Rajendra Kumar Tuli, Anil Dhawan",No,No,No
Judaai,"['Drama', ' Romance']","The wealthy doctor Shashikant marries a servant girl, the much-loved Gauri. When an old flame makes makes contact with Shashikant, pride jeopardizes their marriage and the lives of their children.",1980-09-26,['Rama Rao Tatineni'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0260112,"Ashok Kumar, Rekha, Jeetendra",No,Yes,Yes
Dostana,['Drama'],"Two close friends decide to enter law enforcement – one a police officer, the other a lawyer – but their friendship begins to unravel when they both fall in love with the same woman.",1980-10-17,['Raj Khosla'],Yes,No,No,No,No,Yes,No,No,No,No,tt0080653,"Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman",No,Yes,No
Pyaara Dushman,['Action'],Shiva decides to give his criminal life and marry a dancer Seema.But his past still haunts him forcing him to take back the criminal life.,1980-10-24,['Anand Sagar'],No,No,Yes,No,No,Yes,No,No,No,No,tt0362057,"Amjad Khan, Rakesh Roshan, Vidya Sinha",No,No,No
Insaaf Ka Tarazu,"['Crime', ' Drama']","Beautiful Bharti's life takes a drastic turn after her encounter with the wealthy Ramesh R Gupta, who is used to get what he wants.",1980-10-25,['B.R. Chopra'],Yes,No,No,No,No,Yes,No,No,No,No,tt0080926,"Deepak Parashar, Raj Babbar, Zeenat Aman",No,Yes,No
Humkadam,"['Music', ' Drama', ' Family']","Indu and Shekar Gupta are an exemplary couple with a young son, who live a harmonious lower middle class life despite of spiraling inflation and costs of living. Their love and respect for each other is put to the test when Shekar's parents, and his unmarried sister decide to move in with them in their tiny apartment. Shekar's income is not enough to take care of their extended family, and to make matters worse, Shekar loses his job. Indu and Shekar decide that Indu must find employment, which she does, much to the dismay of her in-laws. Things get worse when Shekar's dad, Raghunath, witnesses Indu in the company of a male in a fancy restaurant, and thinks that she is having an affair. When told about this incident, Shekar shakes his head with disbelief, then changes his mind when he finds out that Indu has not only being going out with another male, but also with her boss, Mr. Dutt. Shekar must now make a decision about Indu, a decision which may well bring their marriage to an end.",1980-11-07,['Anil Ganguly'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0360650,"Rakhee Gulzar, Biswajeet Chatterjee, Parikshit Sahni",No,No,No
Do Premee,['Romance'],"Young Chetan Prakash and beautiful Payal are in love and would like to marry each other. Their respective fathers, Daulatram and Retired Col. Bhagwant Singh, have other plans and want them to marry the spouses of their choice. So Chetan and Payal decide to elope, and marry on the run. Bhagwant Singh advertises in the newspapers for his missing daughter, and offers a handsome reward for her return. Chetan finds a job as a chauffeur, and Payal works as a maid in a house, and they become absorbed in their daily chores, not realizing that their employer, Geeta, is under the power and influence of a gangster named Shivlal, who operates a religious sect under the name of Mahayogi, and who has a gas chamber that he uses to kill people who disagree with him.",1980-11-07,['Raj Khosla'],No,Yes,No,No,No,Yes,No,No,No,No,tt0231475,"Rishi Kapoor, Moushumi Chatterjee, Om Prakash",No,No,No
Bandish,"['Action', ' Crime', ' Drama']","Kishan (Rajesh Khanna), the rich and spoiled son, studying medicine in college, of a wealthy man (Om Prakash) is taught a lesson in humility by fellow student, Madhu (Hema Malini), and he undergoes a dramatic transformation, and also falls in love with her. Their dreams are shattered when Madhu is killed by Kapilkumar (Danny Denzongpa), and a devastated Kishan relocates to a small village to practice medicine. He meets with Chanchal, an exact look-alike of Madhu, and finds himself drawn towards her, and she too is attracted to him. But does fate have positive results for Kishan?",1980-11-07,['K. Bapaiah'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0154201,"Rajesh Khanna, Danny Denzongpa, Hema Malini",No,No,No
Hum Paanch,"['Action', ' Drama']","Tyrannical and wealthy Veer Pratap Singh, rules over a small town - ruthlessly. Whoever opposes him is crushed. He is attracted to women, and has a lengthy affair with Soundariya, and even has a secret marriage ceremony with her. When Soundariya gets pregnant, he asks her to abort the child. When she refuses, he shuns her, and denies ever having married her or even being intimate with her. Her brothers attempt to get justice, but are dealt with ruthlessly by Pratap Singh's bodyguard, Bhima. Soundariya then must garner support of herself, and must find someone who can stand up to Veer Pratap Singh and end his tyranny, in a town with men who have been subdued for eons by Veer Pratap Singh and his men for eons.",1980-11-27,['Bapu'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0080901,"Mithun Chakraborty, Sanjeev Kumar, Shabana Azmi",Yes,Yes,No
Aap To Aise Na The,"['Romance', ' Drama', ' Family']","Orphaned at a very young age, Varsha Oberoi, lives a wealthy lifestyle with her paternal uncle, Jain Oberoi, in Bombay, and has traveled world-wide. She is in love with Vijay, a middle-classed young man, who runs a small furniture store, badly in debt, and lives with his widowed mom, a younger brother, Deepu, and sister, Nanhi, who are very friendly with Varsha. Then Vijay is reunited with his childhood friend, Vikram Chawla, who is welcomed with open arms by the entire family. It is then Vijay's life turns around, he starts getting a lot of orders, gets out of debt, is able to buy a jeep to replace his motorbike, and moves to a comfortable bungalow.",1980-12-05,['Ambrish Sangal'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0178198,"Deepak Parashar, Raj Babbar, Ranjeeta Kaur",No,Yes,No
Shaan,"['Action', ' Crime', ' Drama', ' Romance', ' Thriller']","DSP Shiv Kumar returns home to his wife Sheetal and their young daughter and announces that he has been transferred to Bombay. Shiv Kumar has two brothers, Vijay and Ravi, who live in Mumbai. They are intelligent and capable guys, but spend their time loafing about the city and swindling unsuspecting people.",1980-12-12,['Ramesh Sippy'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0081491,"Sunil Dutt, Amitabh Bachchan, Shashi Kapoor",No,Yes,No
Jwalamukhi,"['Action', ' Romance', ' Drama', ' Family']","Abandoned by his biological mother at the time of his birth, Rajesh is brought up by Rai saheb, who also has a son of his own, Vikram. Years later, Rajesh has grown up to be a police inspector, while Vikram is now a customs officer. Both young men are honest, diligent, and dedicated. These attributes bring them into confrontation with criminal don P.D., who is also a close friend of Rai, and possesses a secret document that links Rai to a murder, namely the murder of his wife, Sheela, and P.D. will use this document to force Rai to ask his children, not to interfere in his illegal operations.—rAjOo (gunwanti@hotmail.com)",1980-12-26,['Prakash Mehra'],Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,tt0239514,"Waheeda Rehman, Reena Roy, Shatrughan Sinha",No,No,No
Chirutha,['Drama'],"A poor young man sells himself as a bonded labourer to a local landlord in order to marry the love of his life, after his fiancé's father demands a dowry for marrying his daughter.",1981-01-01,['Tanvir Ahmed'],Yes,No,No,No,No,Yes,No,No,No,No,tt2728258,"Deepti Naval, Sulabha Deshpande, Inayatullah Kantroo",No,No,No
Sameera,"['Drama', ' Family']","Sameera's husband Prashant, is a civil engineer dedicated to his job. He goes to work on the site of a dam and is often away from home. While he is away Sameera falls ill and is looked after by Nakul, and a relationship develops between them",1981-01-01,['Vinay Shukla'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0364642,"Mithun Chakraborty, Shabana Azmi, Parikshit Sahni",Yes,Yes,No
Jwaala Daaku,['Action'],"Ravi would like to study medicine and then come back and practice it in his small town where there is no doctor or medical facility available for miles. Encouraged by the townspeople and his brother, Bankhe, he re-locates to Bombay, where in a few years time he is able to successfully complete his studies and become a doctor. When he returns home, nothing is the same anymore. His brother Bankhe is absconding, running away from Daku Jwala, who has sworn to kill him to avenge his brother's death - and Dr. Ravi himself has to face Jwala sooner or later - as Jwala's vengeance includes Bankhe and all of his family. Dr. Ravi must now make up his mind to look death at the hands of an angry Jwala - or re-locate and practice medicine elsewhere.",1981-01-01,['R.P. Swamy'],No,No,Yes,No,No,Yes,No,No,No,No,tt0485811,"Mahendra Sandhu, Asha Sachdev, Farida Jalal",No,No,No
Death Penalty,"['Crime', ' Drama']","Based on Vinod Chopra's diploma film at FTII, Murder at Monkey Hill (1976), adapted into a full-length feature with Naseeruddin Shah and Radha Saluja, respectively, playing the roles that he, himself, and Anjali Paigankar had played in the short film.",1981-01-01,['Vidhu Vinod Chopra'],Yes,No,No,No,No,Yes,No,No,No,No,tt0125485,"Naresh Suri, Radha Saluja, Naseeruddin Shah",No,No,No
Paanch Qaidi,"['Action', ' Adventure', ' Drama']","Once upon a time in a village a dacoit named Daku Mangal Singh (Ranjeet) harasses the villagers for lagaan, When Inspector-in-charge Vijay (Girish Karnad) gets transferred to that village he encounters Daku Mangal Singh (Ranjeet) and makes a plan to set the village free of the menace. This story is about five criminals who were taken by the inspector-in-charge Vijay for help to the village. Inspector Vijay take those criminals at his own risk as the higher authority denies his approval. Daku Mangal Singh also exploits women in the village. Does Vijay succeed in his mission.",1981-01-01,['Shibu Mitra'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0243471,"Mahendra Sandhu, Amjad Khan, Sarika Thakur",No,No,No
